,sentence1,sentence2,label
0,"Dit wat gebeur, trek net die prop.","As dit ooit gebeur, trek dan die prop.",1.0
1,'N Swart hond wat deur water loop.,'N Swart hond loop deur water.,1.0
2,Ek het die hele abdy vir u gesoek.,Ek soek jou oral in die abdij.,1.0
3,"As hy mooi lyk en 'n goeie persoonlikheid het, is hy miskien reguit - maar is waarskynlik biseksueel.","As hy mooi lyk, en 'n goeie persoonlikheid, is hy miskien reguit, maar waarskynlik BI.",1.0
4,"Sy haat jou nie, sy is net vererg oor jou.","Sy haat jou nie, sy is net geïrriteerd.",1.0
5,Akteur Gazzara dood op 81,Die akteur Ben Gazzara sterf op 81,1.0
6,"Nee, ek wou regtig nie hê dat New York moes wen nie.","Nee, ek wou nie hê dat New York moes wen nie",1.0
7,Ek het geen probleme daarmee nie.,LOL Ek het geen probleme daarmee nie.,1.0
8,"U ouers hoef nie van u kêrel te hou nie, doen u.",U ouers hoef nie van u BF te hou nie.,1.0
9,"Ek dink Taylor is regtig oulik, maar ek haat sy stem.",Ek dink Taylor is super oulik ... maar ek haat sy stem.,1.0
10,'N Ligbruin hond loop gelukkig in 'n paadjie af.,'N Bleek hond hardloop op 'n paadjie.,1.0
11,Die vierjarige in jou kofferbak.,Die 4 -jarige in jou kofferbak,1.0
12,U kan later agterkom dat u die perfekte een verloor het.,U kan later agterkom dat u die perfekte een verloor het.,1.0
13,"As sy noem dat sy net vriende wil wees, is dit te laat.","As sy gesê het dat sy net vriende wil wees, is dit al te laat.",1.0
14,'N Man skink rys 'n Roni in 'n pan.,'N Man het Ric-a-Roni in 'n pan gegooi.,1.0
15,Ouens kan vreemd wees. Ek moet weet.,Ouens kan vreemd wees; Ek moet weet.,1.0
16,'N Bruin hond spring.,'N Bruin hond spring,1.0
17,Fritz Laband was 'n Duitse sokkerspeler.,Fritz Laband is 'n voormalige Duitse sokkerspeler.,1.0
18,Moenie hierdie man vir 'n oomblik glo nie.,Moenie hierdie man vir 'n oomblik glo nie.,1.0
19,Veral as jy regtig van hom hou en weet dat hy skaam is.,Veral as jy regtig van hom hou en weet dat hy skaam is.,1.0
20,'N man op 'n boeremark.,'N Man is op 'n boeremark.,1.0
21,Die bevolking was 517 by die 2000 -sensus.,Die bevolking is vanaf 2000 517 mense.,1.0
22,"Asem diep, maak die meeste van die lug.","Haal diep asem, laat die lug invloei.",1.0
23,"As u my toevallig sien voordat ek terugkeer, moet u my daaraan herinner om te wag.",As u my moet sien voordat ek terugkom ... vra my asseblief om te wag.,1.0
24,Waarom het u nog nie vir hulle gesê nie?,Waarom het u dit nog nie vertel nie?,1.0
25,Ek is gemakliker as dit reën.,Ek is eintlik gemakliker as dit reën.,1.0
26,"Die Romeine het 'n spesiale soort omhulsel, bekend as Glirarium wat gebruik word om slaapsale vir die tafel te laat agterbly.",Die Romeine het 'n spesiale plek gehad om slaapsale te hou wat 'n glirarium genoem word.,0.969
27,Dit is Leo's en ek hou nie van Leo nie.,Dit is Leo's .......... :( Ek haat Leo.,0.969
28,Omdat Pittsburgh wonderlik is en almal wens dat hulle daar kan woon.,Omdat Pittsburgh fantasties is en almal wens dat hulle daar gewoon het!,0.969
29,"Toe ek weer probeer, kon ek jongleren.","Toe ek teruggaan na dit, kon ek jongleren!",0.969
30,"Het u al ooit die film ""Robin Hood: Prince of Thieves"" gekyk?",Het die film 'Robin Hood' ooit gekyk; Prins van diewe '?,0.969
31,Ek het 'n grap gemaak oor die Gilligans -baba -ding ... belofte!,Ek het 'n grap gemaak oor die baba -ding vir gilligante.,0.969
32,Twee honde piepie na 'n rooi brandkraan.,Twee honde urineer op die rooi brandkraan.,0.969
33,Ek het 'n groot deurbraak gehad op die romp waaraan ek gewerk het.,Ek het 'n bietjie vordering gemaak met die romp waaraan ek werk.,0.969
34,Die bevolking was 127 by die 2000 -sensus.,Die bevolking is vanaf 2000 127 mense.,0.969
35,"Moenie vir 'n meisie val nie, laat meisies eerder vir jou val.",P.S: Moenie vir 'n meisie val nie .. laat meisies vir jou val !!,0.969
36,Dit was veronderstel om so 'n wonderlike oomblik vir my as pa te wees.,Vir my as vader moes dit 'n ongelooflike oomblik gewees het.,0.969
37,"George, Eliza en Harry het ook hul vryheid verkry nadat hulle na Kanada gekruis het.","George, Eliza en Harry het uiteindelik Kanada bereik en vry geword.",0.969
38,"Ek was egter 'n goeie baas, nie waar nie?","Maar ek was 'n goeie baas, nie waar nie?",0.969
39,Ons het 'n wonderlike tyd in Vegas gehad!,Ons het 'n ontploffing in Vegas gehad!,0.969
40,Daar word soms na die kofferbak verwys.,Sommige mense noem dit ook die kofferbak.,0.969
41,"Ja, ek is 'n meisie en hou van videospeletjies.","En ja, ek is 'n meisie wat van videospeletjies hou.",0.969
42,Ek het pas geleer dat ek swanger is en dat ek jou die skuld gee.,Ek het net uitgevind dat ek swanger is en dit is u skuld !!!,0.969
43,"Dit is baie belangrik vir jou, dit, nie waar nie?","Dit is vir jou baie belangrik, is dit nie?",0.969
